"only","exclusively (duy nhat)"
"intended to do bad things","malicious (có ác ý)"
"business expenses","overheads (chi phí quản lý)"
"financial crime","fraud (sự gian lận)"
"pretending","purporting (có ý định)"
"easily deceived/will believe anything","gullible (cả tin)"
"pay off","trả nợ"
"consolidate","củng cố"
"negotiate","đàm phán"
"facility","cơ sở"
"Prescribed by","được quy định bởi"
"dip into your savings","rút tiền tiết kiệm"
"in advance","sự tiến bộ"
"abolish","hủy bỏ"
"acquire","giành được, thu được"
"bank account","tài khoản ngân hàng"
"bond","Trái phiếu"
"building society","Ngân hàng phát triển gia cư"
"capital","vốn"
"conglomerate (n)","tập đoàn"
"deposit (n)","tiền gửi"
"deposit (v)","gửi tiền"
"depositor","người gửi tiền"
"deregulate (v)","bãi bỏ quy định"
"financial authority","cơ quan tài chính"
"financial industry","ngành tài chính"
"fine","tiền phạt"
"forbid (v)","cấm"
"fund","quỹ, tiền"
"globalization","sự toàn cầu hóa"
"interest-paying securities","chứng khoán có sinh lãi, trả lãi"
"issue","phát hành"
"life insurance","bảo hiểm nhân thọ"
"make loan","cho vay"
"merchant bank","Ngân hàng đầu tư"
"merge (v)","sát nhập"
"merger (n)","sự sáp nhập"
"mortgage","thế chấp, khoản vay để mua bất động sản"
"necessity (n)","sự cần thiết, sự thiết yếu"
"permission","sự cho phép"
"prohibit (v)","ngăn cấm"
"prohibition","sự ngăn cấm"
"property","tài sản"
"regulation","sự quy định"
"repeal (n)","sự bãi bỏ"
"restriction (n)","sự hạn chế"
"retail bank","ngân hàng bán lẻ"
"securities","chứng khoán"
"share","cổ phiếu"
"specialize (v)","chuyên môn hoá"
"state (adj)","thuộc nhà nước"
"state (n)","tình trạng"
"step up","tăng cường, đẩy mạnh"
"stock","cổ phiếu"
"sum","khoản tiền"
"takeover (n)","sự tiếp quản, sự mua lại"
"takeover bid (n)","sự chào mua công khai"
"term (n)","kì hạn"
"underwrite (v)","bảo lãnh phát hành"
"universal bank","ngân hàng đa năng"
