"conventional ","(adj.) in line with accepted ideas or standards; trite

a conventional painting"
"affluent ","​
/ˈæfluənt/

having a lot of money and a good standard of living

an affluent area"
"OTT (over-the-top) ","done with too much acting, emotion or effort 
(also over the top)

Her make-up was a bit OTT."
"therapeutic ","ˌθerəˈpjuːtɪk

helping you to relax

ˌθerəˈpjuːtɪk"
"to be on the go ","to be very active and busy

I've been on the move all day."
"cilantro ","parsley-like herb used as seasoning or garnish"
"addicted ","given up to a habit or compulsion

addicted TO smth.

She had become addicted to social media."
"glued ","stuck, o give all your attention to something

glued TO smth.

He spent the whole trip glued to his phone."
"to ban ","to forbid

be banned from something

He was banned from the meeting.

I used to play computer all night, but then my parents banned me."
"go out ","leave home to go on a social event

She doesn't go out much."
"now and again ","occasionally, from time to time"
"to be into something ","not to like smth.

I am not into spicy food."
"once in a blue moon ","very rarely"
"Suspence ","a mystery of what is going to happen next
/səˈspens/
adj. suspenseful"
"devour ","To eat up hungrily
to read or look at something with great interest and enthusiasm
/dɪˈvaʊə(r)/
He devoured thas historical suspence book."
"adapt ","to stage, put up a play, film, series based on a book

noun: adaptation

Three of her novels have been adapted for television."
"gripping ","exciting or interesting in a way that keeps your attention

This show was so gripping that we pulled an all-nighter."
"catchy ","pleasing and easily remembered

a catchy tune"
"impartial ","not favoring one side more than another; fair
/ɪmˈpɑːʃl/
As chairman, I must remain impartial."
"uplifting ","making you feel happier or giving you more hope

As chairman, I must remain impartial."
"hilarious ","(adj.) extremely funny, causing loud amusement"
"canvas ","a piece of cloth on which an artist paints"
"to be drawn to smth. ","o feel that you're being pulled towards it/them, as if by magnetism

I felt like I was drawn to that Andy Warhol painting."
"emotional ","on the verge of crying, feeling like crying

 I am being emotional today."
"damp ","slightly wet, often in a way that is unpleasant

/dæmp/"
"it grows on me ","You start to like it more and more"
"subtle ","delicate, elusive, not obvious

/ˈsʌtl/

The fragrance is a subtle blend of jasmine and sandalwood."
"ambiguous ","open to more than one interpretation


His role has always been ambiguous."
"bold ","1) fearless and daring
2)easily seen"
"get away with ","escape punishment"
"open to interpretation ","many different opinions about something

The season finale of this show is open to interpretation."
"be keen on smth / smb ","to like smth, to be into smth

Sally's quite keen on the idea."
"contemporary ","current, modern; from the same time

contemporary art"
"could well be ","are likely to be

Those could well be his favourity books."
"to get in all that detail ","to explain something fully

Let us not get into all that detail now."
"well-travelled ","(someone or something) that has been to lots of places"
"domestic ","liking home life

Se seems to belong more to the domestic world."
"to be in my element ","doing what I enjoy; comfortable

She's really in her element at parties."
"heated debate ","an angry discussion

Heated debate immediately erupted"
"wrongly accused ","when someone is accused of a crime that he did not commit"
"live up to your expectations ","to achieve what is expected, esp. high standards

This restaurant didn't live up to my expectations."
"hideous ","very ugly, offensive, shocking

a hideous building"
"deprived area ","Places where economic/social and environmental condition are very poor."
"run-down building/area ","in very bad condition"
"up-and-coming area ","likely to become successful or popular"
"venue ","a place where people meet for an organized event, for example a concert, sporting event or conference

The band will be playing at 20 different venues on their UK tour."
"fragile ","1) easily broken
2) weak and uncertain

/ˈfrædʒaɪl/
/ˈfrædʒl/

In her job she was used to dealing with actors' fragile egos."
"soar ","to rise suddenly and rapidly

The prices have soared."
"steer clear of ","to avoid

Steer clear of the centre of town at this time of the evening"
"to house ","to be the place where something is kept or where something operates from

The library houses a collection of 15 000 books."
"buzzkill ","slang. 
one that has a depressing or negative effect

Don't twll him about the party, he is a total buzzkill"
"knock down ","to destroy a building or part of a building

ant. erect

These old houses are going to be knocked down."
"neglected ","suffering a lack of proper care

A neglected ares"
"a float ","a large vehicle on which people dressed in special costumes are carried in a festival"
"an ornate costume ","with much detail, sophisticated"
"indigenous people ","natives of an area who have been conquered or dominated by others who came later"
"a firework display ","a public event when you can watch fireworks at the sky"
"confetti ","[/kənˈfeti/]"
"sinister ","(adj.) appearing evil or dangerous; threatening evil or harm

There was something cold and sinister about him."
"suit yourself ","do what you want to do"
"supporters ","one who supports and encourages; a follower"
"put smb up ","to provide someone with a place to stay temporarily

We can put you up for the night."
"commemorate ","(v.) to preserve, honor, or celebrate the memory of

This is the monument that commemorates the fire of London."
"set off fireworks ","to explode firecrackers"
"innovative ","showing creativity and originality

/ˈɪnəveɪtɪv/, /ˈɪnəvətɪv/

There will be a prize for the most innovative design."
"to feel blue ","feel sad and depressed"
"launch a campaign ","to start something, usually something big or important"
"a generous donation ","generous contribution, a large charity payment"
"to boost one's income ","to raise one's income"
"to benefit somebody ","to do a good thing for somebody

The project will benefit the local community as a whole."
"to be bound to ","be likely to; will probably

It's bound to be sunny again tomorrow."
"make a difference ","have a positive influence on something

What she showed is that one person can make a difference."
"Positive outcome ","a good result

We expect a positive outcome."
"relate ro somebody on different levels ","to have a meaningful psychological and emotional connection with smb."
"light bulb ","an electric device, often with a glass covering, that emits light

/bʌlb/

Can you remove the bulb and replace it with an energy-efficient one?"
"screwdriver ","a hand tool for driving screws"
"wire ","a piece of wire that is used to carry an electric current or signal

The electrician ran a wire from the kitchen to the bedroom."
"my arm is asleep ","i've lost the sensation in my arm"
"pliers ","a tool used for gripping or bending objects"
"tweezers ","small pincers for picking up small objects"
