"Regularly ","đều đặn"
"Feature ","đặc trưng"
"Geographical ","Thuộc về địa lý"
"Considerably ","nhiều"
"Attain ","đạt được"
"Aesthetically ","có thẩm mỹ"
"Inferior ","kém hơn, thấp hơn về địa vị"
"Ultimately ","cuối cùng, sau cùng"
"Undermine ","làm suy yếu"
"Deterioration ","sự làm xấu đi"
"Fundamental ","cơ bản,chủ yếu"
"Simplistic ","quá đơn giản"
"Unreasonable ","bất hợp lí"
"Imaginative ","giàu tưởng tượng"
"Criteria ","tiêu chí"
"Striking ","nổi bật"
"Resemble ","giống với"
"Criticize ","chỉ trích"
"Assess ","ước định"
"Generate ","tạo ra"
"Virtually ","thực sự"
"Indistinguishable ","không thể phân biệt được"
"Entirely ","một cách trọn vẹn"
"Prejudice ","thành kiến"
"Appropriate ","phù hợp"
"Contribute ","đóng góp"
"Irrelevant ","không thích hợp"
"Theoretical ","thuộc lý thuyết"
"Thorough ","cẩn thận"
"Cliff ","vách đá"
"Evaluation ","sự đánh giá"
"Interactive ","có sự tương tác"
"Backdrop ","phông nền"
"Devise ","đặt kế hoạch"
"Customise ","tùy chỉnh"
"Catalogue ","danh mục liệt kê"
"Solely ","duy nhất"
"Comprehensive ","bao hàm toàn diện"
"Adaptive ","thích nghi"
"Stretch ","kéo dài ra"
"Frustration ","sự thất vọng"
"Indifference ","sự hờ hững"
"Infection ","sự lây nhiễm,căn bệnh"
"Identity ","nhân dạng"
"Distinct ","dễ nhận thấy, riêng biệt"
"Ax ","rìu,sa thải"
"Intriguingly ","hấp dẫn ( không bình thường,bí ẩn)"
"Specialize ","chuyên về"
"Undesirable ","không mong muốn"
"State ","tình trạng"
"Detrimental ","có hại"
"Alleviate ","làm giảm"
"Stimulation ","sự khuấy động, khuyến khích"
"Possess ","sở hữu, có"
"Trick ","sự lừa dối"
"Prestigious ","có uy tín"
"Sophisticated ","tinh vi, phức tạp"
"Inevitable ","không thể tránh khỏi"
"Themes ","chủ đề"
"Fascinate ","mê hoặc"
"Subtle ","tinh vi, tinh tế"
"Deliberately ","có mục đích, thận trọng"
"Vague ","mơ hồ"
"Replica ","bản sao, mô hình"
"Impulse ","sự hấp tấp,thúc đẩy"
"Trait ","nét tiêu biểu"
"Controversy ","cuộc tranh luận"
"Beforehand ","trước"
"Objective ","khách quan ,mục tiêu"
"Reckon ","cho là,nghĩ,định"
"Irresistible ","không thể cưỡng lại được"
"Fragrant ","thơm ngát"
"Spice ","gia vị"
"Bark ","vỏ cây"
"Bible ","Kinh Thánh"
"Funeral ","đám tang"
"Afford ","đủ khả năng làm gì"
"Disposable ","dùng một lần"
"Rival ","đối thủ"
"Virtual ","thực sự"
"Monopoly ","độc quyền"
"Exorbitantly ","một cách quá đáng"
"Spur ","sự thúc đẩy"
"Eager ","háo hức, thiết tha"
"Cultivation ","sự canh tác"
"Ethnic ","dân tộc"
"Pliable ","mềm dẻo"
"Associate ","liên tưởng"
"Tribute ","vật tặng"
"Occupy ","chiếm giữ,bắt"
"Overrun ","chiếm hữu, vượt quá"
"Expel ","đuổi; trục xuất"
"Harshly ","cay nghiệt"
"Appetite ","sự ngon miệng"
"Systematic ","có hệ thống, phương pháp"
"Diminish ","hạ bớt, giảm bớt"
"Reinforce ","tăng cường"
"bond ","sự ràng buộc"
"Trigger ","khởi động"
"Childbirth ","sự sinh con"
"Strengthen ","củng cố, tăng cường"
"Attachment ","sự gắn bó"
"Irrelevant ","không thích hợp"
"Temporary ","tạm thời"
"Cooperative ","hợp tác"
"Component ","bộ phận cấu thành"
"Innovation ","đổi mới"
"Disparity ","khác biệt ( không công bằng)"
"Circumstance ","hoàn cảnh"
"Affirm ","quả quyết"
"Modify ","sửa đổi"
"Nasal ","thuộc về mũi"
"Appeal ","yêu cầu"
"Lonesome ","cô đơn"
"Constructively ","một cách xây dựng"
"Universally ","thuộc vũ trụ,thế giới"
"Enhance ","nâng cao"
"Envy ","sự thèm muốn"
"Worthwhile ","đáng giá"
"Bias ","thành kiến"
"Goodwill ","uy tín,thiện chí"
"Subtly ","tinh vi"
"Mutually ","giúp lẫn nhau"
"Anxiety ","nỗi lo"
"Prone ","nghiêng về"
"Molecule ","phân tử"
"Manifest ","biểu lộ"
"Profound ","uyên thâm"
"Integrate ","hội nhập"
"Expansively ","một cách cởi mở"
"Exploit ","khai thác, bóc lột"
"Retain ","giữ được,nhớ được"
"Initiate ","khởi xướng"
"Insight ","sự thấu hiểu"
"Conventional ","thường"
"Avert ","ngăn ngừa"
"Retailer ","người bán lẻ"
"Demonstrate ","chứng minh"
"tangible ","hữu hình"
"Accumulate ","thu gom"
"Redeem ","mua lại"
"Proposition ","vấn đề cần giải quyết"
