"Argument","Tranh cãi"
"Be reconciled ( with somebody)","/ˈrek.ən.saɪl/ Làm lành, làm hoà"
"Sympathetic","Cảm thông"
"Lend an ear","Lắng nghe"
"Incident","Sự cố"
"Unreasonable","Không hợp lý"
"Confided","Tin tưởng"
"Be in relationship","Đang có quan hệ tình cảm"
"single-sex school","trường nam/ nữ sinh"
"strict","nghiêm khắc"
"achievement","thành công"
"furious","extremely angry"
"have a lot in common","share similar ideas"
"Accommodation","/ə,komə'derfən chỗ ở"
"insecure","ˌɪn.səˈkjʊr/ a. không vững chắc bấp bênh"
"encounter","/ɪnˈkaʊn.t̬ɚ/ n. cuộc gặp gỡ, sự bắt gặp"
"appropriate","a. (+to,for) thích hợp thích đáng
inappropriate không thích hợp"
"take the initiative: khởi xướng","raise the first idea: khởi xướng"
"fascinated","mê hoặc quyến rũ"
"Pop the question = propose = ask sb to marry","cầu hôn"
"See eye to eye with sb = agree with sb","đồng tình, đồng ý với ai"
"be opposed to","phản đối"
"oppose","v. chống lại phản đối"
"assist","/əˈsɪst/ v.giúp đỡ"
"ignore","/ɪɡˈnɔːr/ (v): phớt lờ"
"depressed (about)","thất vọng, buồn"
"pessimistic","/ˌpes.əˈmɪs.tɪk/ a. bi quan"
"fed up with","chán"
"childish","/ˈtʃaɪl.dɪʃ/ a.tính trẻ con"
"regard","chú ý"
"confess","thú nhận"
"conceal","/kənˈsiːl/ v.che giấu"
"Confide","/kənˈfaɪd/ v.tâm sự"
"reveal","v. tiết lộ để lộ"
"drift apart from","mất dần tình bạn với ai đó (do khoảng cách xa, không liên lạc, ...)"
"be associated","kết giao, liên kết"
"be separated","ly thân"
"be isolated","bị cô lập"
"strike up","bắt đầu"
"remain","duy trì"
"cover up","che đậy"
"Lovey - dovey","âu yếm, trìu mến"
"To bring sb along","mang theo/ đưa ai đó theo."
"Significant other","nửa còn lại quan trọng."
"foe","(n.): kẻ thù."
"dear","(n.): người yêu dấu;"
"kind-hearted","(a): tốt bụng"
"tolerant","(a): bao dung"
"generous","(a): hào phóng"
"sympathetic","a. ( + to/towards/with somebody) thông cảm; đồng tình"
"pointless","(a): vô nghĩa"
"promising","(a): đầy hứa hẹn"
"Break the ice With sb","tạo thiện cảm, làm cho người chưa gặp bao giờ cảm thấy thoải mái và bắt đầu nói chuyện với nhau."
"Break a leg = good luck","chúc may mắn"
"bring out","mang lại"
"put up","dựng lên"
"put sb up","cho ai đó ở nhờ"
"take over","tiếp quản"
"turn into","biến thành"
"carry on = go on = keep on","tiếp tục"
"settle down","bắt đầu ổn định cuộc sống"
"work out","tìm ra câu trả lời, biện pháp"
"Fall head over heels","yêu say đắm"
"Make up with","làm hòa"
"engage","(v): thu hút, giành được"
"propose","(v): đề nghị, đề xuất, cầu hôn"
"get engaged","đính hôn"
"lend a sympathetic ear to sb","lắng nghe ai một cách chân thành"
"have a crush on sb","phải lòng ai, thích ai"
"blind date","xem mắt, một cuộc hẹn hò mà hai đối tượng không biết trước điều gì về nhau"
"love at first sight","yêu từ cái nhìn đầu tiên"
"see sb","hẹn hò với ai"
"lose my temper","mất bình tĩnh"
"Companion","n. bạn, bầu bạn"
"Companionship","n. tình bạn, tình bạn bè"
"company","n. -sự đi cùng, sự bầu bạn"
"Companionable","a. Dễ làm bạn, dễ kết bạn"
"Sympathize","v. Có thiện cảm, tỏ cảm tình (với ai)
(Cách viết khác sympathise)"
"Beneficiary","n. người hưởng
người nhận tiền
người hưởng lợi
người thụ hưởng"
"work up the courage","lấy hết can đảm, dồn hết can đảm"
"courage","n. lòng can đảm"
"courageous","a. can đảm"
"sorrow and mirth","niềm vui và nỗi buồn"
