"lemon ","chanh"
"orange ","cam"
"pomelo ","bưởi"
"tangerine ","quýt"
"watermelon ","dưa hấu"
"apple ","táo"
"grape ","nho"
"banana ","chuối"
"pear ","lê"
"avocado ","bơ"
"longan ","nhãn"
"lychee ","vải"
"pineapple ","khóm, dứa, thơm"
"jackfruit ","mít"
"durian ","sầu riêng"
"mango ","xoài"
"plum ","mận"
"guava ","ổi"
"rambutan ","chôm chôm"
"ambarella ","cóc"
"persimmon (crunchy) ","hồng (giòn)"
"persimmon (soft) ","hồng (mềm)"
"starfruit ","khế"
"soursop ","cau"
"coconut ","dừa"
"mangosteen ","măng cụt"
"cashew ","trái điều, hột điều điều"
"pomegranate4 ","lựu"
"date ","chà là"
"dragonfruit ","thanh long"
"seed ","hột"
" ","lõi"
" ","xơ"
" ","mắt"
" ","múi"
" ","gai, vỏ mít"
" ","cùa dừa, cơm dừa"
" ","cuống"
"Trái chanh và trái cam có cùng vị gì? ","vị chua"
"Hãy kể tên 2 loại trái cây mọc từng chùm. ","nho, nhãn, vải, chôm chôm, khế"
"Trái cây nào có mắt ở ngoài vỏ? ","trái khóm"
"Hãy kể tên 2 thứ trái cây mọc thành từng buồng. ","chuối, dừa, cau"
"Những vật nhọn ngoài vỏ trái sầu riêng gọi là gì? ","gai"
"Phần màu trắng bên trong trái dừa gọi là gì? ","cùi dừa, cơm dừa"
"Trái chôm chôm có mấy hột? ","1"
"Trái cây gì có lõi? ","Trái khóm, dứa, thơm"
"Hãy kể một thứ trái cây có xơ? ","mít, xoài"
"Hãy kể tên 2 loại trái cây có vị chua? ","chanh, khế, cam"
"Hãy kể tên 2 loại trái cây chỉ có vị ngọt? ","dưa hấu, mít, sầu riêng, chuối, nhãn, dừa"
"Ta dùng chữ nải cho trái cây gì? ","chuối"
"Hãy kể tên 2 thứ trái cây phải bóc vỏ trước khi ăn? ","chuối, cam, bưởi, nhãn, vải, chôm chôm"
"Hãy kể tên 3 thứ trái cây có múi? ","cam, chanh, bưởi"
"Một thứ trái cây được trồng để lấy hột là trái gì? ","trái điều"
