"conduct ( v )","thực hiện, tiến hành"
"deem (v) 


ex: I deem myself reliable","thấy rằng, cho rằng"
"significant","(adj) đầy ý nghĩ, quan trọng đáng kể

eg: The use of lambs to symbolize innocence is _significant_in Western art."
"comprehensive","toàn diện"
"assess","(v) định giá, đánh giá"
"authority","(n) uy quyền, quyền lực"
"category","(n) hạng, loại"
"large-scale","quy mô lớn"
"comply (v) with 
=/= refuse to","Đồng ý làm theo, tuân theo"
"withdraw","rút bỏ, hủy bỏ"
"appropriate (adj) 

appropriate time","thích hợp, thích đáng"
"in accordance with","phù hợp với, dựa theo"
"it is advisable that","nó được khuyến khích rằng"
"blinding (n)

ex: A contract is legally blinding","sự ràng buộc, bắt buộc"
"greater","lớn hơn"
"A High level of","mức độ cao"
"attempt =effort

ex: to attemp a hard task","cố gắng, nỗ lực"
"As a dietary supplement for children","như là 1 chế độ ăn bổ sung cho trẻ em"
"Allocate financial resources for","phân bổ nguồn tài chính cho"
"National budget","ngân sách nhà nước"
"solution = approach= measure = way = action (n)","phương pháp"
"conquer (v)","chinh phục"
"rigid

ex: rigid principle 
 rigid discipline","cứng nhắc
 
vd: nguyên tắc cứng rắn
 kỷ luật cứng nhắt"
"be done = taken=","hành động"
"implement (v)","thi hành , thực thi"
"inflatable 

ex: inflatable toys","có thể bơm phồng"
"choppy (adj)","động, bập bềnh ( sóng)"
"with ease","một cách dễ dàng"
"cruise liner","tàu du lịch"
"secluded","adj.
hẻo lánh; không có nhiều người trông thấy"
"novice","người mới bắt đầu"
"thrill","(n) sự rùng mình (hoảng sợ), sự rộn ràng (vì vui sướng)
eg: The thought of renting a sports car gave John a _____."
"glide

gliding back to the dry land","V- trượt, lướt đi"
"grit (v) your teeth","nghiến răng"
"brutal","hung ác, tàn bạo"
"quirky","kỳ quặc"
"to lean forward","(v)(ngả người về phía trước)"
"bough","cành cây"
"spectacular","(adj) đẹp mắt, ngoạn mục"
"bruise","vết bầm"
"cliff","noun.
vách đá (nhô ra biển)"
"pose a threat to people's health","đe dọa đến ..."
"suffer from sth (health)","chịu đựng điều gì"
"in terms of = regarding 

in term of individual","xét về mặt"
"is a facilitator OF s.t","Là 1 Điều kiện thuận lợi OF st"
"Cross- cultural communication","giao tiếp đa văn hoá"
"the gap between the rich and the poor","sự chênh lệch ..."
"devastate = destroy","tàn phá"
"habitat = environment","môi trường"
"detrimental to","có hại cho"
"take over this project","đảm nhiệm dự án này"
"exceed (v)
it does not exceed its budget","vượt quá"
"embark on 

embark on career","bắt tay vào

 khởi nghiệp, bắt đầu xây dựng sự nghiệp"
"diversity (n)","tính đa dạng"
"financial procedures","những thủ tục về tài chính"
"crucial","chủ yếu, cốt lõi"
"inadequate (adj)

 inadequate knowledge","không đủ, ko thích đáng

không đủ KIẾN THỨC"
"submit a reference","trình giấy chứng nhận (công tác)"
"Tendency","xu hướng"
"recall","Thu hồi"
"Produce Tax revenue.","Đem lại nguồn thu nhập của nhà nước từ thuế"
"cultivate (v)
to cultivate the mind","1.Trau dồi ( trí tuệ) 
2.Trồng trọt, cày cấy"
"facilitate (v)

ex: be sensible, we will facilitate your business.","tạo điều kiện thuận lợi"
"encounter hectic schedule","gặp phải lich trình bận rộn"
"hectic","bận rộn"
"Patronage = sponsorship","sự bảo trợ"
"subsidize /ˈsəbsəˌdīz/
=give money to
=support
= invest in
=provide finance/capital for","trợ cấp, phụ cấp"
"cognitive","(adj) liên quan đến nhận thức"
"a handful of=a small number of","1 nắm/nhúm.../ít..."
"kitchen pantry","tủ đựng đồ ăn trong nhà bếp"
"Myths","Những điều bất ngờ"
"oblivion (n), 
oblivious (adj), 
obliviousness (noun).","bị lãng quên"
"dehydrate (v)","mất nước"
"sweat (v, n)","(v) đổ mồ hôi , mồ hôi (n)"
"propect","triển vọng"
"tension","sự căng thẳng"
"agenda","lịch trình"
"executive","người điều hành"
"execution","(n) sự thực hiện, sự thi hành"
"tortured","bị tra tấn"
"orientation
ex: children's future orientation","n. sự định hướng"
"insightful knowledge INTO","kiến thức sâu sắc VỀ"
"fundamental human rights","các quyền con người cơ bản"
"premises","cơ sở"
"entitled","được phép"
"tremendously","to lớn, ghê gớm, khủng khiếp"
"sustain(sə'stein)
EX: Kangaroos can sustain high speeds over long distances","duy trì"
"Traits of bullfrog","Đặc điểm của ễnh ương"
"dorsal","chưa biết"
